Unnamed: 0,PageNo,Text
18,page_19,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', 'response rate. To understand the true impact of apremilast on QOL in patients with', 'manifestations of psoriasis and impaired quality of life, a 16-week placebo-controlled period is', 'necessary. After Week 16, subjects who were randomized to placebo will receive active', 'treatment with apremilast through Week 52.', 'Confidential and Proprietary', '19', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
19,page_20,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', '2.', 'STUDY OBJECTIVES AND ENDPOINTS', 'Table 1:', 'Study Objectives', 'Primary Objective', 'The primary objective of the study is to assess the impact of apremilast 30 mg twice daily (BID),', 'compared to placebo, on health-related quality of life (qol) in subjects with manifestations of plaque', 'psoriasis and impaired quality of life at Week 16.', 'Secondary Objective(s)', 'The secondary objectives are:', 'To assess the efficacy and safety of apremilast 30 mg BID, compared to placebo in subjects with', 'manifestations of plaque psoriasis and impaired quality of life at Week 16', 'To assess the long-term effects of apremilast 30 mg BID, with respect to quality of life, efficacy, and', 'safety at Weeks 32 and 52', 'Exploratory Objective(s)', 'The exploratory objectives are:', 'To assess the efficacy of apremilast 30 mg BID, compared to placebo in subgroups of subjects with', 'specific manifestations', 'Table 2:', 'Study Enppoints', 'Endpoint', 'Name', 'Description', 'Timeframe', 'Primary', 'Dermatology Life Quality', 'Proportion of subjects who achieve', 'Weeks 16', 'Index (DLQI)', 'a > 4-point reduction from baseline', 'Secondary', 'DLQI', 'Proportion of subjects who achieve', 'Weeks 32, 52', 'a > 4-point reduction from baseline', 'DLQI', 'Mean change from baseline', 'Weeks 16, 32, 52', 'Itch Numeric Rating Scale', 'Mean change from baseline in Itch', 'Weeks 16,32,52', '(NRS)', 'NRS score', 'Skin Discomfort/Pain Visual', 'Mean change from baseline in skin', 'Weeks 16,32,52', 'Analog Scale (VAS)', 'discomfort/pain VAS', 'Body Surface Area (BSA)', 'Mean percent change in BSA', 'Weeks 16,32,52', 'affected by psoriasis', 'Patient Benefit Index (PBI)', 'Proportion of subjects who achieve', 'Weeks 16,32,52', 'PBI score of >', '1', 'Psoriasis Area Severity Index', 'Proportion of subjects who achieve', 'Weeks 16,32,52', '(PASI)', 'PASI < 3', 'Confidential and Proprietary', '20', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
20,page_21,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', 'Table 2:', 'Study Enppoints (Continued)', 'Endpoint', 'Name', 'Description', 'Timeframe', 'European Quality of Life 5-', 'Mean percent change from', 'Weeks 16, 52', 'Dimension (EQ-5D)', 'baseline in EQ-5D score', 'Work Productivity and', 'Mean change in WPAI domain', 'Weeks 16, 52', 'Activity Impairment', 'scores', 'Questionnaire: Psoriasis', '(WPAI: PSO)', 'Treatment-emergent Adverse', 'Frequency and incidence rate of', 'During double-', 'events', 'any TEAE by SOC, PT, severity,', 'blinded treatment', 'and relationship of adverse events', 'and throughout the', '(AEs) to investigational product', 'duration of the', '(IP).', 'apremilast treatment', 'Clinically significant changes', 'Frequency of clinically', 'During double-', 'in body weight, waist', 'significant changes in body', 'blinded treatment', 'circumference, vital signs,', 'weight, waist circumference, vital', 'and throughout the', 'and/or laboratory findings', 'signs, and/or laboratory findings.', 'duration of the', 'apremilast treatment', 'Exploratory', 'Static Physician Global', 'Proportion of subjects who', 'Weeks 16, 32, 52', 'Assessment (sPGA) of', 'achieve sPGA score of 0 or 1', 'Visible locations', '(among subjects randomized with', 'moderate to severe psoriasis in', 'visible areas, defined as sPGA >', '3, which include the dorsal hand,', 'face, neck, or hairline)', 'Scalp Physician Global', 'Proportion of subjects who', 'Weeks 16, 32, 52', 'Assessment (ScPGA)', 'achieve ScPGA score of 0 or 1', '(among subjects randomized with', 'moderate to severe scalp', 'psoriasis, ScPGA > 3)', 'Nail Psoriasis Severity Index', 'Proportion of subjects who', 'Weeks 16, 32, 52', '(NAPSI)', 'achieve NAPSI score of 0 in the', 'target fingernail (among subjects', 'randomized with presence of nail', 'psoriasis, defined as onycholysis', 'and onychodystrophy in at least 2', 'fingernails)', 'Confidential and Proprietary', '21', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
21,page_22,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', 'Table 2:', 'Study Enppoints (Continued)', 'Endpoint', 'Name', 'Description', 'Timeframe', 'Modified Static Physician', 'Proportion of subjects who achieve', 'Weeks 16, 32, 52', 'Global Assessment-Genitalia', 'modified sPGA-G score of 0 or 1', '(sPGA-G)', '(among subjects randomized with', 'moderate to severe genital', 'psoriasis, modified sPGA-G > 3)', 'Palmoplantar Psoriasis', 'Proportion of subjects who achieve', 'Weeks 16, 32, 52', 'Physician Global Assessment', 'PPPGA score of 0 or 1 (among', '(PPPGA)', 'subjects randomized with', 'moderate to severe palmoplantar', 'psoriasis, PPPGA > 3)', 'Confidential and Proprietary', '22', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
23,page_24,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', 'Director and the Statistician. The results from these analyses may be published prior to the end', 'of the study.', 'The blind should be maintained for persons responsible for the ongoing conduct of the study.', 'Subjects, Investigators and persons responsible for the ongoing conduct of the study will', 'continue to be blinded to the original treatment assignment until the end of the study. These', 'persons are those individuals who have direct interaction with subjects and/or subject', 'assessments, and may include but are not limited to the following: Clinical Trial Manager, Data', 'Manager, Clinical Research Associates (Amgen and External Partners) and Site Monitors.', 'The study will be conducted in compliance with the International Council for Harmonisation', '(ICH) of Technical Requirements for Registration of Pharmaceuticals for Human Use/Good', 'Clinical Practice (GCP) and applicable regulatory requirements.', 'Figure 1:', 'Overall Study Design', '-5 0 2 4 16 20 32 44 52 56 Weeks', 'Apremilast 30 MG BID', 'n=255', 'At Week 16 placebo subjects', '(2:1)', 'receive Apremilast 30 MG BID', 'through Week 52t', 'Placebo', 'Safety', '*Primary Endpoint -', '4-pt reduction', '(', '= Randomization', 'from BL in DLQI', 'BID = twice daily; BL = baseline; DLQI = Dermatology Life Quality Index.', '3.2.', 'Study Duration for Subjects', 'The study is designed as a 1-year (52-week) study, with a 4-week Post-treatment Observational', 'Follow-up Phase.', 'Visits will be scheduled at screening (no more than 5 weeks prior to randomization), Week', '0', '(baseline/randomization), Weeks 2, 4, 16, 20, 32, 44, and 52. Subjects who discontinue before', 'Confidential and Proprietary', '24', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
24,page_25,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', 'Week 52 will be asked to attend an Early Termination visit. A post-treatment observational', 'follow-up will be conducted by phone at Week 56 for subjects who complete the 52-week study', 'treatment, or 4 weeks after study treatment discontinuation.', '3.3.', 'End of Trial', 'The End of Trial is defined as either the date of the last visit of the last subject to complete the', 'post-treatment follow-up, or the date of receipt of the last data point from the last subject that is', 'required for primary, secondary, and/or exploratory analysis, as pre-specified in the protocol,', 'whichever is the later date.', 'Confidential and Proprietary', '25', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
25,page_26,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen, Inc.', '4.', 'STUDY POPULATION', '4.1.', 'Number of Subjects', 'Approximately 255 subjects will be enrolled in the study across approximately 6 to 10 countries', 'in Western Europe.', '4.2.', 'Inclusion Criteria', 'Subjects must satisfy the following criteria to be enrolled in the study:', '1.', 'Subject is > 18 years of age at the time of signing the informed consent form (ICF).', '2. Subject must understand and voluntarily sign an ICF prior to any study-related', 'assessments/procedures being conducted.', '3.', 'Subject is willing and able to adhere to the study visit schedule and other protocol', 'requirements.', '4.', 'Subject has diagnosis of chronic plaque psoriasis for at least 6 months prior to baseline,', 'that cannot be controlled by topical therapy.', '5. Subject has a PASI score ranging from >3 to VI 10 at baseline.', '6. Subject has a DLQI score > 10 at baseline.', '7. Subject has presence of > 1 clinical manifestations of plaque psoriasis, defined as at least', 'one of the following:', 'a. Moderate to severe scalp psoriasis, defined as Scalp Physician Global Assessment', '(ScPGA) > 3', 'b. Nail psoriasis, defined as onycholysis and onychodystrophy in at least 2 fingernails', 'c. Moderate to severe genital plaque psoriasis, defined as modified static Physicians', 'Global Assessment of Genitalia (sPGA-G) > 3', 'd. Moderate to severe palmoplantar psoriasis, defined as Palmoplantar Psoriasis', 'Physicians Global Assessment (PPPGA) > 3', 'e.', 'Moderate to severe plaque psoriasis in visible locations (dorsal hand, face, neck, and', 'hairline) with static Physicians Global Assessment (sPGA) > 3', '8. Subject must be in general good health (except for psoriasis) as judged by the', 'Investigator, based on medical history, physical examination, and clinical laboratories.', '(NOTE: The definition of good health means a subject does not have uncontrolled', 'significant co-morbid conditions.)', '9. Subject must have failed to respond to, or be contraindicated to, or intolerant to other', 'systemic therapy including, but not limited to, cyclosporine, methotrexate, acitretin,', 'psoralen and ultraviolet-A-light (PUVA), fumaric acid esters or biologic therapies.', '10. Subjects (in Italy only) must be non-responder to, contraindicated to, or intolerant to', 'other systemic therapy (including cyclosporine, methotrexate, or PUVA) AND also be', 'contraindicated to, or intolerant to biologics.', 'Confidential and Proprietary', '26', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
29,page_30,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen Inc.', 'Table 3:', 'Table of Events (Continued)', 'Post-Treatment', 'Screening', 'Placebo-Controlled Phase', 'Apremilast Extension Phase', 'Observational Follow-upd', 'Baseline', 'Visit Number', '1', '2', '3', '4', '5', '6', '7', '8', '9/ETC', '56 (or 4 weeks after study', '-35 to 0', '0', '2', '4', '16', '20', '32', '44', '52', 'discontinuation)', 'Week', 'days', '(Day 1)', '(3 days)', '( 3 days)', '(=3 days)', '( 4 days)', '( 4 days)', '( 4 days)', '( 4 days)', 'Health-related Quality of Life and Efficacy Assessments', 'DLQI', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'sPGA of Visible', '-', '-', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Location', 'ScPGAk', '-', '-', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Nail Assessment', '-', '-', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'NAPSI', '-', '-', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Modified sPGA-Gk', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'PPPGAK', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'Itch NRS', '-', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'Skin Discomfort/Pain', '-', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'VAS', 'PASI', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'BSA', '-', 'X', 'X', 'X', 'X', 'X', 'X', '-', 'X', '-', 'EQ-5D', '-', 'X', '-', '-', 'X', '-', '-', '-', 'X', '-', 'PNQ', '-', 'X', '-', '-', '-', '-', '-', '-', '-', '-', 'PBQ', '-', '-', '-', 'X', 'X', '-', 'X', '-', 'X', '-', 'WPAI: PSO', '-', 'X', '-', '-', 'X', '-', '-', '-', 'X', '-', 'Photography""', '-', 'X', '-', '-', 'X', '-', 'X', '-', 'X', '-', 'Confidential and Proprietary', '30', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
30,page_31,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen Inc.', 'Table 3:', 'Table of Events (Continued)', 'Post-Treatment', 'Screening', 'Placebo-Controlled Phase', 'Apremilast Extension Phaseb', 'Observational Follow-upd', 'Baseline', 'Visit Number', '1', '2', '3', '4', '5', '6', '7', '8', '9/ETC', '56 (or 4 weeks after study', '-35 to 0', '0', '2', '4', '16', '20', '32', '44', '52', 'discontinuation)', 'Week', 'days', '(Day 1)', '(+3 days)', '( 3 days)', '( 3 days)', '( 4 days)', '( 4 days)', '( 4 days)', '( 4 days)', '-', '-', '-', '-', 'Dispense IP', 'X', 'X', 'X', 'X', 'X', 'X', 'Return and Count IP', '-', '-', '-', '-', 'X', 'X', 'X', 'X', 'X', 'X', 'Tablets', 'Abbreviations: BMI = body mass index; BSA = body surface area;', 'DLQI = Dermatology Life Quality Index; EQ-5D = European Quality of Life 5-', 'Dimension; FCBP = females of childbearing potential; IP = investigational product; NAPSI = Nail Psoriasis Severity Index; PASI = Psoriasis Area Severity Index; PBQ = Patient', 'Benefit Questionnaire; PNQ = Patient Needs Questionnaire; PPPGA = Palmoplantar Psoriasis Physicians Global Assessment; NRS = Numeric Rating Scale; ScPGA = Scalp', 'Physician Global Assessment; sPGA = static Physicians Global Assessment; sPGA-G = static Physicians Global Assessment of Genitalia; VAS = Visual Analog Scale;', 'WPAI:PSO = Work Productivity and Activity Impairment Questionnaire: Psoriasis.', 'a Visits in the Placebo-controlled Phase to be performed 3 days.', 'b Visits in the Apremilast Extension Phase to be performed 4 days.', 'c Visit 9 will serve as the Early Termination Visit for any subject who prematurely discontinues from the study, prior to Week 52. All subjects who complete the study or', 'discontinue the study early will be asked to enter the Four-week Post-treatment Observational Follow-up Phase.', 'd', 'Post-treatment observational follow-up will be conducted by telephone.', 'e Written informed consent will be obtained by the Principal Investigator or designee prior to initiation of any study procedures, including washouts from prior medications.', 'f Adverse event review should include new or worsening psychiatric symptoms, suicidal ideation, suicidal attempt, severe diarrhea, nausea and vomiting, and unexplained and', 'clinically significant weight loss. See Section 6.5.', 'g Females of childbearing potential (FCBPs) only. Serum pregnancy tests are performed at Screening, and Early Termination Visit/Last Treatment Visit. Urine pregnancy test kit', 'will also be provided to the site and performed at baseline prior to randomization. The Investigator will educate all FCBP about the different options of contraceptive methods', 'and their correct use at Screening and Baseline visits. The subject will be reeducated every time their contraceptive measures/methods or their ability to become pregnant', 'changes. A pregnancy test(s) should be administered if the FCBP subject misses a menstrual period.', 'h', 'Laboratory assessments will include routine/standard chemistry and hematology panel of tests. A lipid panel will be included in the standard chemistry panel. If screening', 'laboratory assessments are within 7 days of Baseline (Week 0), laboratory assessment does not need to be repeated at Baseline (Week 0). For females of childbearing potential', 'urine pregnancy test will be performed at Baseline (Week 0) to confirm subject eligibility (negative results required for IP administration).', 'j Subject assessments must be completed in the following order: DLQI, Itch NRS, Skin Discomfort/Pain VAS, EQ-5D, PNQ/PBQ, and WPAI: PSO, as scheduled in the Table of', 'Events.', 'k All manifestations should be assessed in all subjects at all visits, so that improvement, worsening, or new onset of any of these manifestations can be assessed.', '1', 'Nail assessments will evaluate presence of nail psoriasis, defined as onycholysis and onychodystrophy.', 'm Photographs will be obtained from subjects who provide separate consent to be photographed and at select sites only.', 'Confidential and Proprietary', '31', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
34,page_35,"['Apremilast', 'Protocol CC-10004-PSOR-020', 'Amgen Inc.', 'been at work or study over the past week, with response alternatives being ""A lot,""', '""A little,"" or ""Not at all.""', 'The DLQI total score has a possible range from 0 to 30, with 30 corresponding to the', 'worst quality of life, and 0 corresponding to the best score. The developers suggest', 'that the DLQI can be grouped into six subscales: symptoms and feelings, daily', 'activities, leisure, work/school, personal relationships, and treatment. Scores for four', 'of the subscales (symptoms and feelings, daily activities, leisure, and personal', 'relationships) range from 0 to 6; scores for two of the subscales (work/school and', 'treatment) range from 0 to 3. Higher scores correspond to poorer quality of life. See', 'Appendix B.', '6.4.2.', 'Static Physicians Global Assessment (sPGA) of Visible Locations', 'The sPGA is the assessment by the Investigator of the overall disease severity at the', 'time of evaluation. The sPGA is a 5-point scale ranging from 0 (clear) to 4 (severe),', 'incorporating an assessment of the severity of the three primary signs of the disease:', 'erythema, scaling and plaque elevation. In this study, sPGA is used to evaluate', 'psoriasis only in visible locations, defined as dorsal hand, face, neck and hairline.', 'When making the assessment of overall severity, the investigator should factor in', 'areas that have already been cleared (ie, have scores of 0) and not just evaluate', 'remaining lesions for severity, ie, the severity of each sign is averaged across all areas', 'of involvement, including cleared lesions. In the event of different severities across', 'disease signs, the sign that is the predominant feature of the disease should be used to', 'help determine the sPGA score. See Appendix C for grading criteria.', '6.4.3.', 'Scalp Physician Global Assessment (ScPGA)', 'The ScPGA will assess scalp involvement. See Appendix D for grading criteria. The', '5-point ScPGA scale ranges from 0 (clear), 1 (almost clear), 2 (mild), 3 (moderate), to', '4 (severe).', '6.4.4.', 'Nail Assessments/Nail Psoriasis Severity Index (NAPSI)', 'The number of fingers with psoriasis nail involvement, defined as onycholysis and', 'onychodystrophy, will be counted.', 'The NAPSI will assess one target thumb nail or fingernail representing the worst nail', 'psoriasis involvement at Baseline. See Appendix E for grading criteria.', '6.4.5.', 'Modified static Physicians Global Assessment of Genitalia (Modified sPGA-G)', 'The modified sPGA-G is the assessment by the Investigator of the overall disease', 'severity at the time of evaluation of the genital regions. The assessment area includes', 'the vulvar region in women, from the clitoral prepuce to the perineum, and the penis,', 'scrotum, and perineum in men. It does not include the pubis, inguinal folds, peri-anal', 'region, or gluteal cleft; however, in this study, the assessment will be modified to also', 'include the peri-anal region and gluteal cleft. As with the sPGA, it is a 5-point scale,', 'ranging from 0 (clear) to 4 (severe). Note that not all three individual features will', 'always be present on evaluation. Thus, while the total represents a combination of the', 'Confidential and Proprietary', '35', 'CC-10004-PSOR-020 Amendment 3 FINAL: 01 May 2020', 'EDMS Doc. Number: 24684941 - 22835610']"
