,Study Assessments,"Cycle 1, Day 11",Cycle 1 & Cycle 3 Day 4,"Cycle 1 & Cycle 3, Day 8-15",Q3W starting Wk 42 (to be performed regardless of dosing),Cycle 2- CX with dosing 2,Notes
1,Calcium corrected for albumin (serum), , , ,SELECTED X,NOT_SELECTED,"be applied per local guidance). The same modality should be used throughout the study (i.e., if CT scan was used as baseline, participant needs to be followed by CT scans)."
2,"lgG, IgM, IgA", , ,NOT_SELECTED,SELECTED X,NOT_SELECTED,"Plasmacytoma measurements should be taken from the CT portion of the PET/CT, or MRI"
3,lgD/E20, , ,NOT_SELECTED,SELECTED X,NOT_SELECTED,"scans, or dedicated CT scans where applicable. For participants with skin only involvement,"
4,Bone Marrow (BM),Aspiration/Biopsy, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,skin lesions should be measured with a ruler. Measurement of tumor size will be determined
5,BM for MRD testing21, ,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,by the Sum of the Products of the maximal perpendicular diameters of measured lesions (SPD). Imaging will be collected for independent review. For sites in Germany: Only MRI is
6,"BM for disease assessment (aspirate, preferred)", ,NOT_SELECTED,NOT_SELECTED,At the time of CR (always) or at time of suspected PD (only if not evident, ,"allowed to be used as imaging modality for participants with extramedullary disease. 19. Germany: no PET/CT to confirm CR or sCR will be performed until approval by the German Federal Office for Radiation Protection until further notice. 20. Only required for participants with lgD/E myeloma, where serum m-component cannot be followed otherwise"
7, , , , ,otherwise), ,21. Minimal residual disease (MRD) to be performed by the central lab at the time of first achieving
8,Bone marrow biopsy to assess sCR by IHC22, ,NOT_SELECTED,NOT_SELECTED,Only if CR have been achieved on this visit, ,"VGPR or CR, repeat MRD testing 6 mo and 12 mo after achieving VGPR or CR (provided VGPR/CR is maintained). 22. In participants achieving a CR, bone marrow biopsy to confirm sCR by IHC."
9,Biomarker, , , , ,NOT_SELECTED,"23. sBCMA samples to be taken in all participants for GSK2857916 measurement during Cycle 1,"
10,"Soluble BCMA (serum)5, 23",SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,"Day 1 and Cycle 3, Day 1 at the following study times: predose (within 30 minutes prior to SOI), at EOI (+5 min), at 2 h (+15 min) after SOI, and at 24 h (2 hrs) after SOI, on Cycle 1"
11,cfDNA (plasma),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,"Day 4 (+1 days) and one sample at any time between Cycle 1 Day 8 & Day 15, with the PK"
12,Optional, , , ,NOT_SELECTED,NOT_SELECTED,samples. Pre-infusion sBCMA samples are collected prior to GSK2857916 infusion during
13,Optional tissue sample at PD for BCMA24,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,"each of the first 18 cycles: after which, sBCMA sample should be collected every 3 cycles, i.e. pre-infusion C18D1, C21D1, C24D1, etc."
14,Genetics sample (optional),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,"24. Upon PD- Optional tumor sample (BM aspirate clot, or fresh tissue, or tissue block from extramedullary tumor) for BCMA expression analysis by IHC. To be submitted to central lab for analysis."
