,PageNo,Text
0,page_0,"Confidential Page | 1 CLINICAL STUDY PROTOCOL Study Title: An International Phase 3, Randomized, Double-Blind, Placebo- and Active (Tolterodine)-Controlled Multicenter Study to Evaluate the Safety and Efficacy of Vibegron in Patients with Symptoms of Overactive Bladder Protocol Number: RVT-901-3003 Compound Name and/or Number: Vibegron Indication Treatment of Overactive Bladder Sponsor: Urovant Sciences GmbH Viaduktstrasse 8 4051 Basel Switzerland Development Phase: 3 Regulatory Identifier(s): IND# 106,410 EudraCT# 2017-003293-14 Current Version and Effective Date: Version 3.0; 15 NOV 2018 Previous Version(s) and Effective Date(s): Version 2.1; 12 FEB 2018 Version 2.0; 30 JAN 2018 Version 1.2; 01 NOV 2017 Version 1.1; 05 OCT 2017 Version 1.0; 29 SEP 2017 Study Director: , , Clinical Development Confidentiality Statement The information contained in this document, particularly unpublished data, is the property or under control of Urovant Sciences GmbH, and is provided to you in confidence as an investigator, potential investigator or consultant, for review by you, your staff, and an applicable Institutional Review Board or Independent Ethics Committee. The information is only to be used by you in connection with authorized clinical studies of the investigational drug described in the protocol. You will not disclose any of the information to others without written authorization from Urovant Sciences GmbH. except to the extent necessary to obtain informed consent from those persons to whom the drug may be administered. NCT Number: NCT03492281 This NCT number has been applied to the document for purposes of posting on clinicaltrials.gov"
1,page_1,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 2 SUMMARY OF CHANGES Version Location Description of Change 3.0 Global Minor typographical/formatting errors were corrected. 3.0 1; 3; 9.3.1 The key secondary efficacy endpoints were reordered. The following one key secondary efficacy endpoint was added: Percent of OAB Wet patients with a 100% reduction from baseline in UUI episodes per 24 hours at Week 12 The following four key secondary efficacy endpoints were removed (moved to and combined under exploratory endpoints): 3.0 1; 3; 9.3.1 The following additional secondary endpoint was removed: 3.0 1; 3; 9.3.1 Exploratory endpoints were reordered and analysis timepoints were updated for some endpoints. The following endpoints were added:
2,page_2,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 3 Version Location Description of Change The following exploratory endpoints were removed: 3.0 1.1 Removed the phrase “and adverse events deemed related to Study Procedures” from footnote #15 (all adverse events are recorded). 3.0 7.8; 8.3.1 For consistency with the adverse collection window, removed language indicating that adverse events from time of informed consent to first dose of study treatment should be recorded as medical history. 3.0 9.2.2 For consistency with the updated key secondary endpoints, one objective/hypothesis was added, four key secondary objectives/hypotheses were deleted, and the objectives/hypotheses were reordered and renumbered accordingly. 2.1 Global Minor typographical/formatting errors were corrected. 2.0 Cover page Add Basel address; changed study director contact. 2.0 Global Minor typographical/grammatical errors were corrected. 2.0 Global Tables were renumbered sequentially without a chapter number included as part of the table number in the main body, and an appendix letter was added as part of the table numbering within the appendices. 2.0 Medical Contact / Sponsor Information Page Change email to ; change to , to reflect new company names. 2.0 Table of Contents Updated all page numbers; edited Section 5.4 and 5.4.1 from “Discontinuation” to “Interruption”, deleted “Withdrawal from the Study”. 2.0 1; 3; 9.3.1"
3,page_3,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 4 Version Location Description of Change 2.0 1; 3; 9.2.2; 9.3.1; 9.5.1 Change of 5% in response efficacy endpoint (70 to 75%; Percent of OAB Wet patients with a 75% re duction from baseline in UUI episodes per 24 hours at Week 12). 2.0 1; 2.1 Addition of (RVT-901) after Vibegron to align with Certificate of Analysis for product. 2.0 1; 3; 9.5.1 2.0 1.1 Updated Schedule of Activities and visit events to reflect protocol text; updated and realigned footnotes accordingly. 2.0 1.1; 8.3.1 Update language around timing of data collection for AE and SAE. 2.0 1; 5.1.1; 7.10 Change days of screening compliance from 6 to 5. 2.0 5.4; 5.4.1 Replaced “discontinued” with “interrupted”; reversed order of sentences. 2.0 6.6 Removed study medication rechallenge in patients with a grade 3 or higher drug-related AE reported. 2.0 7.3 Moved Visit Reminders to 7.12. 2.0 7.10; 7.10.1 Updates to Patient Voiding Diary instructions, training, and description. 2.0 7.11; 7.11.1; 7.11.2 Updates to Urine Volume Collection instructions, training, and description. 2.0 7.12 Update to instructions on Reminders for Diary Collection. 2.0 7.13; 7.13.1; 7.13.2 Updates to Electronic Diary instructions and training. 2.0 7.26.1 Deletion of data collection of food/meal intake prior to PK sampling. 2.0 8.6 Updated MACCE language to match CAC Charter. 2.0 8.7 Addition of timeframe around pregnancy and infant outcome. 1.2 Global Minor typographical/grammatical errors were corrected. 1.2 Sponsor Signature Page Minor wording update to sentence: This protocol has been approved by a representative of Urovant Sciences GmbH. 1.2 1; 5.1.1 Inclusion criterion updated: #4 updated for OAB Wet criteria from “Screening diary” to “previous visit diary”; #5 updated to reflect wording in Section 5.2.1."
4,page_4,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 5 Version Location Description of Change 1.2 1; 5.1.2 -powered field in a spun specimen and/” was removed from Exclusion criterion #8. 1.2 1; 5.1.2 Exclusion added for narrow angle glaucoma. 1.2 1.1 Footnotes were updated to include: a note that paper diaries may be used; clarification that pelvic exams may be part of the physical exam; clarification that urinalysis will be performed if there is a positive dipstick result; FSH removed from chemistry. 1.2 1.1; 7.5 The timing for collection of paper diaries (if used) was added. 1.2 1.1; 7.5.2; 7.5.3 References to the Week 2 timepoint as a visit were reworded to clarify that a study visit does not occur at Week 2. 1.2 6.1 “Tablet” or “capsule” descriptors were added to Table 3 (formerly numbered as Table 6-1). 1.2 6.2 Wording was added to indicate the study treatment should be swallowed whole; Wording was added to require a witnessed dose at the clinic at Run-In and Baseline Visits; PK sub-study language was changed to collect pre-dose; dispense study medication was language was combined. 1.2 7.5.4 PK sub-study language was changed to hold dose on morning of study visit to collect pre-dose PK. 1.2 7.18.1 PK sub-study language was changed to collect pre-dose PK. 1.2 7.12.1 The Follicle Stimulating Hormone test was re moved from the list of laboratory tests performed. 1.2 7.16 Clarified that tablet/capsule count will be recorded in the interactive voice or web response system rather than case report form. 1.2 8.6 Added adverse events suggestive of cystitis or urinary tract infection and moved liver test values to end of list. 1.1 5.2.1 Changes were made to description of contraception requirements and methods for female patients. 1.1 7.5 Plan to use a paper diary as backup was added.
5,page_5,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 6 SPONSOR SIGNATURE PAGE Study Title: An International Phase 3, Randomized, Double-Blind, Placebo- and Active (Tolterodine)-Controlled Multicenter Study to Evaluate the Safety and Efficacy of Vibegron in Patients with Symptoms of Overactive Bladder Protocol Number: RVT-901-3003 This protocol has been approved by a representative of Urovant Sciences GmbH. The following signature documents this approval. Clinical Development"
6,page_6,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 7 MEDICAL CONTACT/SPONSOR INFORMATION PAGE Sponsor Medical Contact/Serious Adverse Event Contact Information: Role Name Day Time After-Hours Primary Medical Monitor Office: Mobile: Fax: E-mail: Office: Mobile: Fax: E-mail: Secondary Medical Monitor Office: Mobile: Fax: E-mail: Office: Mobile: Fax: E-mail: Contact for Serious Adverse Events (SAEs) Email: Phone: Fax: Study Sponsor: This study is sponsored by Urovant Sciences GmbH.
7,page_7,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 8 INVESTIGATOR STATEMENT I confirm agreement to conduct the study in compliance with the protocol. I acknowledge that I am responsible for overall study conduct. I agree to personally conduct or supervise the described study. I agree to ensure that all associates, colleagues, and employees assisting in the conduct of the study understand their obligations and will comply with the study protocol. Mechanisms are in place to ensure that site staff receives the appropriate training and information throughout the study. Principal Investigator Name (Printed) Signature Date Site"
8,page_8,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 9 TABLE OF CONTENTS SUMMARY OF CHANGES ...........................................................................................................2 SPONSOR SIGNATURE PAGE ....................................................................................................6 MEDICAL CONTACT/SPONSOR INFORMATION PAGE ........................................................7 INVESTIGATOR STATEMENT ...................................................................................................8 1. SYNOPSIS .................................................................................................................15 1.1. Schedule of Activities .................................................................................................25 2. INTRODUCTION ......................................................................................................31 2.1. Indication ....................................................................................................................31 2.2. Background .................................................................................................................31 2.3. Non-clinical Safety Summary .....................................................................................32 2.4. Summary of Relevant Clinical Experience with Vibegron ........................................33 2.4.1. Efficacy .......................................................................................................................33 2.4.2. Safety and Tolerability ...............................................................................................34 2.4.3. Clinical Pharmacology, Pharmacokinetics, and Metabolism .....................................36 2.5. Study Rationale ...........................................................................................................36 2.6. Dose Rationale ............................................................................................................36 2.7. Information on Other Study-Related Therapies .........................................................37 3. OBJECTIVES AND ENDPOINTS ............................................................................38 4. INVESTIGATIONAL PLAN .....................................................................................42 4.1. Overall Study Design ..................................................................................................42 4.2. Treatment Arms and Duration ....................................................................................44 4.3. Number of Participants ...............................................................................................44 4.4. Definition of Study Completion by a Patient .............................................................44 4.5. End of Study Definition ..............................................................................................44 5. STUDY POPULATION .............................................................................................45 5.1. Eligibility Criteria .......................................................................................................45 5.1.1. Inclusion Criteria ........................................................................................................45 5.1.2. Exclusion Criteria .......................................................................................................46 5.2. On-Study Restrictions .................................................................................................48 5.2.1. Contraception ..............................................................................................................48 5.2.1.1. Female Patients ...........................................................................................................48"
9,page_9,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 10 5.2.2. Meals and Dietary Restrictions ...................................................................................49 5.3. Screen Failure .............................................................................................................49 5.4. Interruption of Study Treatment .................................................................................50 5.4.1. Temporary Interruption ..............................................................................................50 5.4.2. Rechallenge .................................................................................................................50 5.5. Withdrawal from the Study ........................................................................................50 5.6. Lost to Follow Up .......................................................................................................50 5.7. Early Study Termination .............................................................................................51 6. STUDY TREATMENT ..............................................................................................52 6.1. Study Treatments Description ....................................................................................52 6.2. Administration of Study Treatments ..........................................................................52 6.3. Study Treatment Assignment .....................................................................................53 6.4. Blinding ......................................................................................................................53 6.4.1. Unblinding ..................................................................................................................53 6.5. Dose Modification ......................................................................................................54 6.6. Treatment Discontinuation and Rechallenge ..............................................................54 6.7. Packaging and Labeling ..............................................................................................54 6.8. Preparation/Handling/Storage/Accountability ............................................................54 6.9. Study Treatment Compliance .....................................................................................55 6.10. Study Treatment Overdose .........................................................................................55 6.11. Treatment after the End of the Study ..........................................................................55 7. STUDY ASSESSMENTS AND PROCEDURES ......................................................56 7.1. Order of Assessments .................................................................................................56 7.2. Scheduling Visits ........................................................................................................56 7.3. Unscheduled Visits .....................................................................................................56 7.4. Assignment of Patient Number ...................................................................................56 7.5. Screening/Washout .....................................................................................................56 7.6. Informed Consent .......................................................................................................57 7.7. Inclusion/Exclusion Criteria .......................................................................................57 7.8. Medical History ..........................................................................................................58 7.9. Prior and Concomitant Medications ...........................................................................58 7.9.1. Prior Medications ........................................................................................................58 7.9.2. Concomitant Medications ...........................................................................................58
